Disco,Artista,Ano,Capa,Spotify,YouTubeMusic,Tipo
Away from the Sun,3 Doors Down,2002,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/0a/c0/0d/0ac00d65-4327-29b1-6a1e-4f1e2684d758/06UMGIM23627.rgb.jpg/600x600bb.jpg,https://open.spotify.com/search/3%20Doors%20Down%20Away%20From%20The%20Sun,https://music.youtube.com/search?q=3%20Doors%20Down%20Away%20From%20The%20Sun,disco
The Better Life,3 Doors Down,2000,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/61/2a/58/612a58ca-af10-cc8f-07ef-b3368ebc9564/07UMGIM12238.rgb.jpg/600x600bb.jpg,https://open.spotify.com/search/3%20Doors%20Down%20The%20Better%20Life,https://music.youtube.com/search?q=3%20Doors%20Down%20The%20Better%20Life,disco
8-Bit Versions of Depeche Mode,8-Bit Misfits,2017,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/6b/a9/46/6ba94601-df5b-e93d-f7d8-2773586ee730/191515976888_Cover.jpg/600x600bb.jpg,https://open.spotify.com/search/8-Bit%20Misfits%208-Bit%20Versions%20of%20Depeche%20Mode,https://music.youtube.com/search?q=8-Bit%20Misfits%208-Bit%20Versions%20of%20Depeche%20Mode,disco
Decemberunderground,AFI,2006,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/ba/3c/e1/ba3ce1d8-c63a-8d42-e3cc-85532f4a7785/06UMGIM22260.rgb.jpg/600x600bb.jpg,https://open.spotify.com/search/AFI%20Decemberunderground,https://music.youtube.com/search?q=AFI%20Decemberunderground,disco
Ana Carolina,Ana Carolina,1999,https://yt3.googleusercontent.com/e3ts8tZfrCTsA6OQKbA3xSXqKif56MPSc5IVVG4wcs0BKvmLDY2ifuUbvQD0IywjtMUGdj6kYeiVR1N3=w544-h544-l90-rj,https://open.spotify.com/search/Ana%20Carolina%20Ana%20Carolina,https://music.youtube.com/playlist?list=OLAK5uy_n91EG2ba6vbLwJsjugTjlV3_PT30xYQmY,disco
Ana Rita Joana Iracema e Carolina,Ana Carolina,2001,https://yt3.googleusercontent.com/jx-ObKh0BXhHzmiYYd1q919j7az2kNFW094p4Wc536837ohFB9E6ZScfzHhdAeusxe-mxHZht38o0kHBZg=w544-h544-l90-rj,https://open.spotify.com/search/Ana%20Carolina%20Ana%20Rita%20Joana%20Iracema%20e%20Carolina,https://music.youtube.com/playlist?list=OLAK5uy_lsd_z9xYEajatGwUKx8Q2BfW-pQWRiPZs,disco
Estampado,Ana Carolina,2003,https://is1-ssl.mzstatic.com/image/thumb/Music/ce/e6/45/mzi.rfhbjfjz.jpg/600x600bb.jpg,https://open.spotify.com/search/Ana%20Carolina%20Estampado,https://music.youtube.com/playlist?list=OLAK5uy_k7QxSmonFnpXZzXTPz7onkSnZ34DSQUEw,disco
Ana & Jorge,Ana Carolina e Seu Jorge,2003,https://yt3.googleusercontent.com/lxSfQdEh_m-rORGWWZMyR5c_RjHKaXwmnOkY7pwYptsDUHGi20Z0RfNJ3HzHfo5nqSENoj76NhUrGddn=w544-h544-l90-rj,https://open.spotify.com/search/Ana%20Carolina%20e%20Seu%20Jorge%20Ana%20%26%20Jorge,https://music.youtube.com/playlist?list=OLAK5uy_kcaeO7D6Tz1uGnMmbaymulO5wp3QdZ5dg,disco
Portal 2: Songs to Test By,Aperture Science Psychoacoustics Laboratory,2012,https://yt3.googleusercontent.com/WXFYmkgzVqn4bCkpvI6tsRqijwob0ivIOsDWxcTAAH0AoMjIlxg9V52icUarU5hEQDzpzwkoCMCiW9Z7nQ=w544-h544-l90-rj,https://open.spotify.com/search/Aperture%20Science%20Psychoacoustics%20Laboratory%20Portal%202%3A%20Songs%20to%20Test%20By%20-%20Volume%203,https://music.youtube.com/playlist?list=OLAK5uy_nJY2uVsHvnOUIO273XrrRO0nTdsoIKnds,disco
"Whatever People Say I Am, That's What I'm Not",Arctic Monkeys,2013,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/cc/0f/2d/cc0f2d02-5ff1-10e7-eea2-76863a55dbad/887828031795.png/600x600bb.jpg,https://open.spotify.com/search/Arctic%20Monkeys%20Whatever%20People%20Say%20I%20Am%2C%20That's%20What%20I'm%20Not,https://music.youtube.com/search?q=Arctic%20Monkeys%20Whatever%20People%20Say%20I%20Am%2C%20That's%20What%20I'm%20Not,disco
Ill Communication,Beastie Boys,1994,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/a0/10/8d/a0108d39-c544-218b-150e-ae556812d817/00724383073559.jpg/600x600bb.jpg,https://open.spotify.com/search/Beastie%20Boys%20Ill%20Communication,https://music.youtube.com/search?q=Beastie%20Boys%20Ill%20Communication,disco
A Era Da Incerteza,Biquini Cavadão,1987,https://yt3.googleusercontent.com/phlw0iC0zUWc5makBLOaqCJGi5ijc3hORffBGOWvHTJ-TKNatmGOBmzt2KdbTkWHst0EVvaIakWylRgdHw=w544-h544-l90-rj,https://open.spotify.com/search/Biquini%20Cavad%C3%A3o%20A%20Era%20Da%20Incerteza,https://music.youtube.com/search?q=Biquini%20Cavad%C3%A3o%20A%20Era%20Da%20Incerteza,disco
Agora,Biquini Cavadão,1994,https://is1-ssl.mzstatic.com/image/thumb/Music/55/82/d2/mzi.tbahsjwe.jpg/600x600bb.jpg,https://open.spotify.com/search/Biquini%20Cavad%C3%A3o%20Agora,https://music.youtube.com/search?q=Biquini%20Cavad%C3%A3o%20Agora,disco
Ao Vivo,Biquini Cavadão,2005,https://yt3.googleusercontent.com/a-qL-2XSV4_Xg_XfQuwlhg1QgiJPcaMFnKvoAakcASgHlHMQv_RBq6mRv7TQpF55pyKxMJ1pVHhM9b8Z=w544-h544-l90-rj,https://open.spotify.com/search/Biquini%20Cavad%C3%A3o%20Ao%20Vivo,https://music.youtube.com/search?q=Biquini%20Cavad%C3%A3o%20Ao%20Vivo,disco
Cidades em Torrente,Biquini Cavadão,1986,https://yt3.googleusercontent.com/jfWF5hysoywMUjSHcVY7OxED6RkpzuPirYLSs4MlaFt8smCtEUsrZckbdgbbFr5GiqqWfCOXqKLkB0Pe=w544-h544-l90-rj,https://open.spotify.com/search/Biquini%20Cavad%C3%A3o%20Cidades%20em%20Torrente,https://music.youtube.com/search?q=Biquini%20Cavad%C3%A3o%20Cidades%20em%20Torrente,disco
Descivilização,Biquini Cavadão,1991,https://yt3.googleusercontent.com/KVKLopwqoh8XWO2MSMDi39oEDcEGIUqKtR7MGD9BwWpmVMSAqkJ-SQLizMAvpkt2bFwAouoPu8OIn-P6Ew=w544-h544-l90-rj,https://open.spotify.com/search/Biquini%20Cavad%C3%A3o%20Desciviliza%C3%A7%C3%A3o,https://music.youtube.com/search?q=Biquini%20Cavad%C3%A3o%20Desciviliza%C3%A7%C3%A3o,disco
Escuta Aqui,Biquini Cavadão,2000,https://is1-ssl.mzstatic.com/image/thumb/Music/v4/a9/64/bf/a964bf4d-b440-f3f7-7428-39e74ced8aab/743217470029.jpg/600x600bb.jpg,https://open.spotify.com/search/Biquini%20Cavad%C3%A3o%20Escuta%20Aqui,https://music.youtube.com/search?q=Biquini%20Cavad%C3%A3o%20Escuta%20Aqui,disco
INSIDE,Bo Burnham,2021,https://yt3.googleusercontent.com/Okck58D4uw7WkqKjw8XVDNLPq9ew1GjwhSMZn1qTkdZ5tir2xsi40swD6RvFg84Xo4SwQOHWraPUKfuu=w544-h544-l90-rj,https://open.spotify.com/search/Bo%20Burnham%20INSIDE,https://music.youtube.com/playlist?list=OLAK5uy_nkaZRcAx5OaWWhZdi2hosCFfHpRn5EuLg,disco
Caetano Veloso 67,Caetano Veloso,1967,https://yt3.googleusercontent.com/wIiSCLR8k_3BKe6FuqJWPgXnfRvkB5WYjVHiGsm4SdSwFisoR8aPtgMYNQEBatQ2inEm_hhWeO9xQT8K=w544-h544-l90-rj,https://open.spotify.com/search/Caetano%20Veloso%20Caetano,https://music.youtube.com/playlist?list=OLAK5uy_lJETrZN8fLuB-rh9DB-u6Id-U1egxlKR8,disco
Caetano Veloso 69,Caetano Veloso,1969,https://yt3.googleusercontent.com/_rvyMNIYln8JleatGhuZMJs3vnzvS3P7UPIRss6HvLNtajeJJutVs-9W_58F54BWSlvHOu6wloEIrlC85w=w544-h544-l90-rj,https://open.spotify.com/search/Caetano%20Veloso%20Caetano%20Veloso,https://music.youtube.com/playlist?list=OLAK5uy_mNTBodFFv5xTKjXZPZiFd0tEgaOIGlx10,disco
Circuladô,Caetano Veloso,1991,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/34/ab/d4/34abd4f3-4239-66ae-18d7-927b9a0132cf/mzi.nurzbuyh.jpg/600x600bb.jpg,https://open.spotify.com/search/Caetano%20Veloso%20Circulad%C3%B4,https://music.youtube.com/playlist?list=OLAK5uy_l1eOpqZh4C_pXBgu9j9zyW6ij3gltgNP4,disco
